Discipline,Gender,Event,phase,type,order,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,ENG phase Description,FRA phase Description,KOR phase Description,Old DDGEEEP
ALP,-,------------------,DRAW,7,D,Alpine Skiing Draw,"Ski alpin, tirage au sort",알파인 스키 추첨,Alpine Skiing Draw,"Ski alpin, tirage au sort",알파인 스키 추첨,Draw,Tirage au sort,추첨,AS0000E
ALP,-,------------------,----,8,,Alpine Skiing,Ski alpin,알파인 스키 ,Alpine Skiing,Ski alpin,알파인 스키 ,,,,AS00000
ALP,-,CANCEL------------,----,3,,No competition,Pas de compétition,경기 없음,No competition,Pas de compétition,경기 없음,,,,
ALP,M,------------------,MEET,9,M,Team Captains' Meeting - Men,Réunion chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting - Men,Réunion des chefs d'équipe - Hommes,대표자회의 - 남자,Team Captains' Meeting,Réunion des chefs d'équipe,대표자회의,ASM000T
ALP,M,------------------,----,8,,Men's Alpine Skiing,Ski alpin hommes,알파인 스키 남자,Men's Alpine Skiing,Ski alpin hommes,알파인 스키 남자,,,,ASM0000
ALP,M,AC----------------,FNL-,3,1,Men's Alpine Combined,Combiné alpin hommes,남자 알파인 복합,Men's Alpine Combined,Combiné alpin hommes,남자 알파인 복합,,,,ASM105A
ALP,M,AC----------------,DRAW,7,D,Men's Alpine Combined Draw,"Combiné alpin hommes, tirage au sort",남자 알파인 복합 추첨,Men's Alpine Combined Draw,"Combiné alpin hommes, tirage au sort",남자 알파인 복합 추첨,Draw,Tirage au sort,추첨,ASM105E
ALP,M,AC----------------,TRNO,1,T,Men's Alpine Combined Downhill Training,"Descente combiné alpin H, entraînement",남자 알파인 복합 활강 연습,Men's Alpine Combined Downhill Training,"Descente du combiné alpin hommes, entraînement",남자 알파인 복합 활강 연습,Downhill Training,"Descente, entraînement",활강 연습,ASM105O
ALP,M,AC----------------,VICT,6,V,Men's Alpine Combined Victory Ceremony,"Combiné alpin H, cérémonie vainqueurs",남자 알파인 복합 메달 시상식,Men's Alpine Combined Victory Ceremony,"Combiné alpin hommes, cérémonie des vainqueurs",남자 알파인 복합 메달 시상식,Victory Ceremony,Cérémonie des vainqueurs,메달 시상식,ASM105M
ALP,M,AC----------------,----,8,,Men's Alpine Combined,Combiné alpin hommes,남자 알파인 복합,Men's Alpine Combined,Combiné alpin hommes,남자 알파인 복합,,,,ASM1050
ALP,M,DH----------------,FNL-,3,1,Men's Downhill,Descente hommes,남자 활강,Men's Downhill,Descente hommes,남자 활강,,,,ASM0101
ALP,M,DH----------------,DRAW,7,D,Men's Downhill Draw,"Descente hommes, tirage au sort",남자 활강 추첨,Men's Downhill Draw,"Descente hommes, tirage au sort",남자 활강 추첨,Draw,Tirage au sort,추첨,ASM010E
ALP,M,DH----------------,TRNO,1,T,Men's Downhill Training,"Descente hommes, entraînement",남자 활강 연습,Men's Downhill Training,"Descente hommes, entraînement",남자 활강 연습,Training,Entraînement,연습,ASM010O
