Function,Discipline,Order,Category,ENG Description,FRA Description,KOR Description,Partic,Results
AA01,ALP,0,A,Athlete,Athlète,선수,Y,Y
AR,ALP,3,J,Assistant Referee,Arbitre assistant,어시스턴트 레프리,,
COMP_CHF,ALP,4,J,Chief of Race,Directeur de la compétition,경기위원장,,
CRS_SET,ALP,7,J,Course Setter,Traceur,코스 세터,,
FSH_RE,ALP,6,J,Finish Referee,Juge d'arrivée,피니시 레프리,,
OFFIC,ALP,,S,Technical Official,Officiel technique,기술 임원,,
RE,ALP,2,J,Referee,Arbitre,레프리,,
STR_RE,ALP,5,J,Start Referee,Juge au départ,스타트 레프리,,
TCH_DEL,ALP,1,J,FIS Technical Delegate,Délégué technique FIS,FIS 기술대표(TD),,
TM_MGR,ALP,,T,Team Leader,Chef d'équipe,팀 리더,,
TM_OFFIC,ALP,,T,Team Official,Officiel d'équipe,팀 임원,,
AA01,BOB,0,A,Athlete,Athlète,선수,Y,Y
JUR_AST,BOB,,J,Jury Assistant,Juge adjoint,부 심판,,
JUR_ME,BOB,,J,Member of the Jury,Membre du corps arbitral,심판위원,,
JUR_PR,BOB,,J,President of the Jury,Président du corps arbitral,심판위원장,,
OFFIC,BOB,,J,Technical Official,Officiel technique,기술임원,,
P02,BOB,,C,Training Partner,Partenaire d'entraînement,훈련 파트너,Y,N
P03,BOB,,A,Alternate Athlete,Athlète remplaçant,대체 선수,Y,N
RCE_DIR,BOB,,J,Race Director,Directeur de course,레이스 디렉터,,
TCH_DEL,BOB,,J,Technical Delegate,Délégué technique,기술대표(TD),,
TRK_CHF,BOB,,J,Chief of the Track,Directeur de piste,트랙 총책임자,,
AA01,BTH,0,A,Athlete,Athlète,선수,Y,Y
COMP_CHF,BTH,,J,Chief of Competition,Chef de compétition,경기위원장,,
JUR_ME,BTH,,J,Member,Membre,쥬리 멤버,,
OFFIC,BTH,,S,Technical Official,Officiel technique,기술임원,,
RE,BTH,,J,International Referee for Course,Arbitre international du parcours,코스 국제심판,,
TCH_DEL,BTH,,J,IBU Technical Delegate,Délégué technique de l'IBU,IBU 기술대표(TD),,
TCH_DELA,BTH,,J,IBU Assistant Technical Delegate,Délégué technique adjoint de l'IBU,IBU 어시스턴트 기술대표,,
AA01,CCS,0,A,Athlete,Athlète,선수,Y,Y
COMP_CHF,CCS,4,J,Chief of Competition,Chef de compétition,경기위원장,Y,Y
CRS_CHF,CCS,7,J,Chief of Course,Directeur de parcours,코스 위원장,Y,N
JUR_ME,CCS,6,J,Member,Membre,쥬리 멤버,Y,Y
OFFIC,CCS,,S,Technical Official,Officiel technique,기술임원,,
RCE_DIR,CCS,2,J,FIS Race Director,Directeur de course FIS,FIS 레이스 디렉터,Y,Y
RCE_DIRA,CCS,3,J,FIS Assistant Race Director,Directeur adjoint de course FIS,FIS 어시스턴트 레이스 디렉터,,
TCH_DEL,CCS,1,J,FIS Technical Delegate,Délégué technique FIS,FIS 기술대표(TD),Y,Y
TCH_DELA,CCS,5,J,FIS Assistant Technical Delegate,Délégué technique adjoint FIS,FIS 어시스턴트 기술대표,Y,Y
AA01,CUR,0,A,Athlete,Athlète,선수,Y,Y
AST_COA,CUR,2,C,2nd Team Coach,2nd entraîneur,2군 팀 코치,,
COACH,CUR,1,C,Coach,Entraîneur,코치 ,,
COACH_NA,CUR,3,T,National Coach,Entraîneur national,대표팀 코치,,
ICE_AST,CUR,,S,Deputy Chief Ice Technician,Chef adjoint de la glace,데퓨티 치프 아이스 테크니션,,
ICE_TCH,CUR,,S,Chief Ice Technician,Technicien chef de la glace,치프 아이스 테크니션,,
TK,CUR,,J,Chief Timer,Chronométreur chef,치프 타이머,,
TK_AST,CUR,,J,Deputy Chief Timer,Chronométreur chef adjoint,데퓨티 치프 타이머,,
TM_MGR,CUR,4,T,Team Leader,Chef d'équipe,팀 리더,,
TM_OFFIC,CUR,5,T,Team Official,Officiel d'équipe,팀 임원,,
TRANSL,CUR,6,T,Translator,Interprète,통역사,,
UC,CUR,,J,Chief Umpire,Chef arbitre,심판치프,,
UDC,CUR,,J,Deputy Chief Umpire,Chef arbitre assistant,데퓨티 심판치프,,
UM,CUR,,J,Game Umpire,Arbitre de l'épreuve,경기 심판,,
AA01,FRS,0,A,Athlete,Athlète,선수,Y,Y
CHF_HP,FRS,,J,Chief of Halfpipe,Chef du halfpipe,하프파이프 위원장,Y,Y
CHF_SLP,FRS,,J,Chief of Slopestyle,Chef de Slopestyle,슬로프스타일 위원장,Y,Y
COMP_CHF,FRS,,J,Chief of Competition,Chef de compétition,경기위원장,Y,Y
CON_DIR,FRS,,J,FIS Contest Director,Directeur d'épreuve FIS,FIS 콘테스트 디렉터,Y,Y
CRS_BLD,FRS,,J,Course Builder,Constructeur du parcours,코스 빌더,Y,Y
CRS_CHF,FRS,,J,Chief of Course,Directeur de parcours,코스위원장,Y,Y
CRS_CHFA,FRS,,J,Assistant Chief of Course,Directeur adjoint de parcours,어시스턴트 코스위원장,Y,Y
CRS_DB,FRS,,J,Course Designer & Builder,Concepteur et constructeur du parcours,코스 디자이너 & 빌더,Y,Y
CRS_DSG,FRS,,J,Course Designer,Concepteur du parcours,코스 디자이너,Y,Y
CRS_SET,FRS,,J,Course Setter,Traceur,코스 세터,Y,Y
CRS_SPV,FRS,,J,Course Supervisor,Superviseur de parcours,코스 수퍼바이저,Y,Y
FSH_RE,FRS,,J,Finish Referee,Juge d'arrivée,피니시 레프리,Y,Y
HED_JU,FRS,,J,Head Judge,Juge chef,헤드 저지,Y,Y
HED_JU_A,FRS,,J,Assistant Head Judge,Juge en chef adjoint,어시스턴트 헤드 저지,Y,Y
JU,FRS,,J,Judge,Juge,저지,Y,Y
