Code,ENG Name,AZE Name,Sport Flag,Sport Code,Sport Name,AZE Sport Name
DV,Diving,Suya tullanma,Y,AQ,Aquatics,
SW,Swimming ,Üzgüçülük,Y,AQ,Aquatics,
SY,Synchronised Swimming,Sinxron üzgüçülük,Y,AQ,Aquatics,
WP,Water Polo,Su polosu,Y,AQ,Aquatics,
AR,Archery,Kamandan oxatma,Y,AR,Archery,
AT,Athletics,Atletika,Y,AT,Athletics,
BD,Badminton,Badminton,Y,BD,Badminton,
B3,Basketball 3x3,Basketbol 3x3,Y,BK,Basketball,
BF,Beach Soccer,Çimərlik futbolu,Y,FB,Football,
BX,Boxing,Boks,Y,BX,Boxing,
CF,Canoe Sprint,Avarçəkmə,Y,CA,Canoe,
CB,Cycling BMX,BMX,Y,CY,Cycling,
CM,Cycling Mountain Bike,Dağ velosipedi,Y,CY,Cycling,
CR,Cycling Road ,Şosse velosipedi,Y,CY,Cycling,
FE,Fencing,Qılıncoynatma,Y,FE,Fencing,
AC,Gymnastics Acrobatic,Akrobatika gimnastikası,Y,GY,Gymnastics,
AE,Gymnastics Aerobic,Aerobika gimnastikası,Y,GY,Gymnastics,
GA,Gymnastics Artistic,İdman gimnastikası,Y,GY,Gymnastics,
GR,Gymnastics Rhythmic,Bədii gimnastika,Y,GY,Gymnastics,
GT,Trampoline,Batut gimnastikası,Y,GY,Gymnastics,
JU,Judo,Cüdo,Y,JU,Judo,
KA,Karate,Karate,Y,KA,Karate,
SC,Sambo,Sambo,Y,SC,Sambo,
SH,Shooting,Atıcılıq,Y,SH,Shooting,
TT,Table Tennis,Stolüstü tennis,Y,TT,Table Tennis,
TK,Taekwondo,Taekvondo,Y,TK,Taekwondo,
TR,Triathlon,Triatlon,Y,TR,Triathlon,
BV,Beach Volleyball,Çimərlik voleybolu,Y,VB,Volleyball,
VO,Volleyball,Voleybol,Y,VB,Volleyball,
WR,Wrestling,Güləş,Y,WR,Wrestling,
CE,Ceremonies,,N,,,
GL,General,,N,,,
UT,Training,,N,,,
