Code,Discipline,Gender,Event,Class
ARM071W1,AR,M,071,W1
ARM072ST,AR,M,072,ST
ARM072W1,AR,M,072,W1
ARM072W2,AR,M,072,W2
ARM073ST,AR,M,073,ST
ARM073W1,AR,M,073,W1
ARM073W2,AR,M,073,W2
ARW071W1,AR,W,071,W1
ARW072ST,AR,W,072,ST
ARW072W1,AR,W,072,W1
ARW072W2,AR,W,072,W2
ARW073ST,AR,W,073,ST
ARW073W1,AR,W,073,W1
ARW073W2,AR,W,073,W2
ARX471W1,AR,X,471,W1
ARX472ST,AR,X,472,ST
ARX472W1,AR,X,472,W1
ARX472W2,AR,X,472,W2
ARX473ST,AR,X,473,ST
ARX473W1,AR,X,473,W1
ARX473W2,AR,X,473,W2
ATM111T11,AT,M,111,T11
ATM112T12,AT,M,112,T12
ATM113T13,AT,M,113,T13
ATM133T33,AT,M,133,T33
ATM134T34,AT,M,134,T34
ATM135T35,AT,M,135,T35
ATM136T36,AT,M,136,T36
ATM137T37,AT,M,137,T37
ATM138T38,AT,M,138,T38
ATM142T42,AT,M,142,T42
ATM144T43,AT,M,144,T43
ATM144T44,AT,M,144,T44
ATM147T45,AT,M,147,T45
ATM147T46,AT,M,147,T46
ATM147T47,AT,M,147,T47
ATM151T51,AT,M,151,T51
ATM152T52,AT,M,152,T52
ATM153T53,AT,M,153,T53
ATM154T54,AT,M,154,T54
ATM211T11,AT,M,211,T11
ATM212T12,AT,M,212,T12
ATM235T35,AT,M,235,T35
ATM242T42,AT,M,242,T42
ATM244T43,AT,M,244,T43
ATM244T44,AT,M,244,T44
ATM411T11,AT,M,411,T11
ATM412T12,AT,M,412,T12
ATM413T13,AT,M,413,T13
ATM420T20,AT,M,420,T20
ATM436T36,AT,M,436,T36
ATM437T37,AT,M,437,T37
ATM438T38,AT,M,438,T38
ATM444T43,AT,M,444,T43
ATM444T44,AT,M,444,T44
ATM447T45,AT,M,447,T45
ATM447T46,AT,M,447,T46
ATM447T47,AT,M,447,T47
ATM451T51,AT,M,451,T51
ATM452T52,AT,M,452,T52
ATM453T53,AT,M,453,T53
ATM454T54,AT,M,454,T54
ATM511T11,AT,M,511,T11
ATM513T12,AT,M,513,T12
ATM513T13,AT,M,513,T13
ATM554T53,AT,M,554,T53
ATM554T54,AT,M,554,T54
ATM834T33,AT,M,834,T33
ATM834T34,AT,M,834,T34
ATM836T36,AT,M,836,T36
ATM853T52,AT,M,853,T52
ATM853T53,AT,M,853,T53
ATM854T54,AT,M,854,T54
ATM911T11,AT,M,911,T11
ATM913T12,AT,M,913,T12
ATM913T13,AT,M,913,T13
ATM920T20,AT,M,920,T20
ATM937T37,AT,M,937,T37
ATM938T38,AT,M,938,T38
ATM946T45,AT,M,946,T45
ATM946T46,AT,M,946,T46
ATM952T51,AT,M,952,T51
