Id,ENG Description,FRA Description,POR Description,SPA Description
AA,Anglo-Arab,Anglo-arabe,Anglo-árabe,Anglo-Árabe
AAFE,Asociacion Argentina de Fomento Equino,Asociacion Argentina de Fomento Equino,Asociacion Argentina de Fomento Equino,Asociación Argentina de Fomento Equino
AES,Anglo European Studbook,Anglo European Studbook,Anglo European Studbook,Anglo European Studbook
AWR,American Warmblood Registry,American Warmblood Registry,American Warmblood Registry,American Warmblood Registry
AWS,American Warmblood Society,American Warmblood Society,American Warmblood Society,American Warmblood Society
BAD-WU,Pferdezuchtverband Baden-Württemberg e.V.,Pferdezuchtverband Baden-Württemberg e.V.,Pferdezuchtverband Baden-Württemberg e.V.,Pferdezuchtverband Baden-Württemberg e.V.
BAVAR,Landesverband Bayerischer Pferdezüchtere V.,Landesverband Bayerischer Pferdezüchtere V.,Landesverband Bayerischer Pferdezüchtere V.,Landesverband Bayerischer Pferdezüchtere V.
Bras-H,Asso. Brasileira de Criadores do Cavalo de Hipismo,Asso. Brasileira de Criadores do Cavalo de Hipismo,Asso. Brasileira de Criadores do Cavalo de Hipismo,Asso. Brasileira de Criadores do Cavalo de Hipismo
Bri.WS,British Warmblood Society,British Warmblood Society,British Warmblood Society,British Warmblood Society
BWP,Belgisch Warmbloedpaard v.z.w.,Belgisch Warmbloedpaard v.z.w.,Belgisch Warmbloedpaard v.z.w.,Belgisch Warmbloedpaard v.z.w.
CCDM,Criadores de Caballos Deportivos Mexicanos,Criadores de Caballos Deportivos Mexicanos,Criadores de Caballos Deportivos Mexicanos,Criadores de Caballos Deportivos Mexicanos
Cdesp,Caballo de Deporte Espanol,Caballo de Deporte Español,Caballo de Deporte Espanol,Caballo de Deporte Español
CH,Swiss Warmblood,Swiss Warmblood,Swiss Warmblood,Swiss Warmblood
CSHA,Canadian Sport Horse Association,Canadian Sport Horse Association,Canadian Sport Horse Association,Canadian Sport Horse Association
CWHBA,Canadian Warmblood Horse Breeders Ass.,Canadian Warmblood Horse Breeders Ass.,Canadian Warmblood Horse Breeders Ass.,Canadian Warmblood Horse Breeders Ass.
DWB,Danish Warmblood Society,Danish Warmblood Society,Danish Warmblood Society,Danish Warmblood Society
FWB,Finnish Warmblood,Finnish Warmblood,Finnish Warmblood,Finnish Warmblood
HANN,Verband Hannoverscher Pferdezüchter e.V.,Verband Hannoverscher Pferdezüchter e.V.,Verband Hannoverscher Pferdezüchter e.V.,Verband Hannoverscher Pferdezüchter e.V.
HESS,Verband Hessischer Pferdezüchter e.V.,Verband Hessischer Pferdezüchter e.V.,Verband Hessischer Pferdezüchter e.V.,Verband Hessischer Pferdezüchter e.V.
HOLST,Verband der Züchter des Holsteiner Pferdes e.V.,Verband der Züchter des Holsteiner Pferdes e.V.,Verband der Züchter des Holsteiner Pferdes e.V.,Verband der Züchter des Holsteiner Pferdes e.V.
HSHBA,Hungarian Sport Horse Breeders Association,Hungarian Sport Horse Breeders Association,Hungarian Sport Horse Breeders Association,Hungarian Sport Horse Breeders Association
ISH,Irish Sport Horse,Irish Sport Horse,Irish Sport Horse,Irish Sport Horse
KWPN,Koninklijk Warmbloed Paardenstamboek Nederland,Koninklijk Warmbloed Paardenstamboek Nederland,Koninklijk Warmbloed Paardenstamboek Nederland,Koninklijk Warmbloed Paardenstamboek Nederland
LUSIT,Lusitanian,Lusitanian,Lusitanian,Lusitanian
MECKL,Verband der Pferde. Mecklenburg-Vorpommern e.V.,Verband der Pferde. Mecklenburg-Vorpommern e.V.,Verband der Pferde. Mecklenburg-Vorpommern e.V.,Verband der Pferde. Mecklenburg-Vorpommern e.V.
NL,Not Listed,Non inclus dans la liste,Não listado,No listado
NRPS,Nederlands Rijpaarden en Pony Stamboek,Nederlands Rijpaarden en Pony Stamboek,Nederlands Rijpaarden en Pony Stamboek,Nederlands Rijpaarden en Pony Stamboek
NWB,Norwegian Warmblood Association,Norwegian Warmblood Association,Norwegian Warmblood Association,Norwegian Warmblood Association
OLDBG,Verband der Züchter des Oldenburger Pferdes e.V.,Verband der Züchter des Oldenburger Pferdes e.V.,Verband der Züchter des Oldenburger Pferdes e.V.,Verband der Züchter des Oldenburger Pferdes e.V.
P.R.E,Pura Raza Español,Pura Raza Española,Pura Raza Español,Pura Raza Español
PHBA,Polish Horse Breeders Association,Polish Horse Breeders Association,Polish Horse Breeders Association,Polish Horse Breeders Association
PTB,Part Bred,Demi-sang,Mestiço,Mestizo
RHEIN,Rheinisches Pferdestammbuch e.V.,Rheinisches Pferdestammbuch e.V.,Rheinisches Pferdestammbuch e.V.,Rheinisches Pferdestammbuch e.V.
SA,Pferdezuchtverband Sachsen Anhalt e.v.,Pferdezuchtverband Sachsen Anhalt e.v.,Pferdezuchtverband Sachsen Anhalt e.v.,Pferdezuchtverband Sachsen Anhalt e.v.
SACHS,Pferdezuchtverband Sachsen e.V.,Pferdezuchtverband Sachsen e.V.,Pferdezuchtverband Sachsen e.V.,Pferdezuchtverband Sachsen e.V.
SAWHS,South African Warmblood Association,South African Warmblood Association,South African Warmblood Association,South African Warmblood Association
SBS,"Stud-book sBs, le Cheval de Sport Belge","Stud-book sBs, le cheval de sport belge","Stud-book sBs, le Cheval de Sport Belge","Stud-book sBs, le Cheval de Sport Belge"
SF,Stud-book Français du Cheval Selle Français,Stud-book français du cheval Selle Français,Stud-book Français du Cheval Selle Français,Stud-book Français du Cheval Selle Français
SHBGB,Sport Horse Breeding of Great Britain,Sport Horse Breeding of Great Britain,Sport Horse Breeding of Great Britain,Sport Horse Breeding of Great Britain
SLS,Studbook La Silla,Studbook La Silla,Studbook La Silla,Studbook La Silla
SWB,Swedish Warmblood Association,Swedish Warmblood Association,Swedish Warmblood Association,Swedish Warmblood Association
THB,Thoroughbred,Pur-sang,Puro-sangue,Pura sangre
TRAK,Trakehner Verband,Trakehner Verband,Trakehner Verband,Trakehner Verband
UN,Unknown,Inconnue,Desconhecido,Desconocido
UNIRE,Unione Nazionale Incremento Razze Equine,Unione Nazionale Incremento Razze Equine,Unione Nazionale Incremento Razze Equine,Unione Nazionale Incremento Razze Equine
VNP,Verband Niederösterrichischer Pferdezüchter,Verband Niederösterrichischer Pferdezüchter,Verband Niederösterrichischer Pferdezüchter,Verband Niederösterrichischer Pferdezüchter
WBD,Warm Blood,Sang chaud,Sangue Quente,Sangre caliente
WESTF,Westfälisches Pferdestammbuch e.V.,Westfälisches Pferdestammbuch e.V.,Westfälisches Pferdestammbuch e.V.,Westfälisches Pferdestammbuch e.V.
ZANG,Stud-book Zangersheide,Stud-book Zangersheide,Stud-book Zangersheide,Stud-book Zangersheide
ZVDP,Zuchtverband für Deutsche Pferde e.v.,Zuchtverband für Deutsche Pferde e.v.,Zuchtverband für Deutsche Pferde e.v.,Zuchtverband für Deutsche Pferde e.v.
ZWEIB,Pferdezuchtverband Rheinland-Pfalz-Saar e.V.,Pferdezuchtverband Rheinland-Pfalz-Saar e.V.,Pferdezuchtverband Rheinland-Pfalz-Saar e.V.,Pferdezuchtverband Rheinland-Pfalz-Saar e.V.
